SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Castle Hill - West,107,22,282,80,44,108,0,0,20,24,680
Cherrybrook,384,88,873,216,101,262,0,9,48,64,2050
Kellyville,436,108,1219,461,286,610,0,12,117,130,3388
Dural - Kenthurst - Wisemans Ferry,178,53,678,365,252,447,0,23,81,126,2186
Galston - Laughtondale,43,11,153,84,78,113,0,3,16,26,524
Bilpin - Colo - St Albans,11,0,46,32,54,81,0,3,12,41,282
Kurrajong Heights - Ebenezer,95,64,519,411,536,648,0,38,78,181,2562
Pitt Town - McGraths Hill,53,29,287,216,255,411,0,7,52,67,1373
Rouse Hill - Beaumont Hills,360,99,1202,475,345,670,0,15,107,156,3430
Blacktown (East) - Kings Park,477,58,922,371,334,698,4,55,112,196,3216
Blacktown (North) - Marayong,256,49,649,355,379,715,4,79,119,149,2749
Doonside - Woodcroft,347,51,956,384,391,897,8,77,126,218,3449
Lalor Park - Kings Langley,306,88,941,458,493,852,0,58,127,222,3544
Seven Hills - Toongabbie,439,69,1041,412,373,811,4,76,120,228,3571
Blacktown (South),176,30,444,230,191,515,5,52,63,126,1837
Blacktown (West),220,42,556,295,296,658,0,60,114,150,2389
Glenwood,349,51,873,292,215,469,0,18,69,90,2432
Parklea - Kellyville Ridge,766,169,2095,824,558,1060,0,32,178,288,5976
Riverstone - Marsden Park,296,73,792,359,357,655,0,57,100,222,2914
Acacia Gardens,74,15,221,75,75,121,0,6,18,28,643
Quakers Hill,441,102,1218,523,451,805,0,38,110,178,3856
Bidwill - Hebersham - Emerton,54,8,220,212,340,1066,6,183,113,295,2497
Glendenning - Dean Park,112,22,279,193,189,399,0,31,50,71,1340
Hassall Grove - Plumpton,157,46,664,390,397,942,0,74,123,193,2996
Lethbridge Park - Tregear,178,24,425,318,439,1158,10,167,96,346,3165
Mount Druitt - Whalan,249,36,677,364,442,1052,6,166,175,278,3445
Prospect Reservoir,0,0,0,0,0,5,0,0,0,7,6
Rooty Hill - Minchinbury,191,62,782,358,412,846,5,65,131,194,3038
Banksmeadow,0,0,0,0,5,0,0,0,0,0,7
Botany,186,45,499,277,182,355,0,22,46,154,1772
Mascot - Eastlakes,677,93,1508,497,319,878,0,60,118,329,4481
Pagewood - Hillsdale - Daceyville,186,35,453,195,178,371,0,45,46,163,1672
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,4,0,4,0,0,0,0,0,0,12,18
Marrickville,729,190,2016,535,348,820,0,51,121,481,5283
Petersham - Stanmore,713,193,1778,432,223,560,0,14,72,450,4439
Sydenham - Tempe - St Peters,204,65,560,198,115,257,0,15,30,121,1560
Darlinghurst,394,79,1126,185,60,261,0,8,41,423,2583
Erskineville - Alexandria,783,187,1820,407,185,473,3,4,75,369,4321
Glebe - Forest Lodge,832,140,1675,350,173,475,0,32,57,430,4165
Newtown - Camperdown - Darlington,1018,237,2312,479,256,566,0,19,96,513,5489
Potts Point - Woolloomooloo,754,143,1727,378,185,480,0,18,83,771,4526
Pyrmont - Ultimo,900,117,1893,454,175,709,0,33,132,563,4972
Redfern - Chippendale,907,142,1990,399,158,601,0,22,86,621,4934
Surry Hills,611,123,1686,379,125,411,0,23,84,500,3947
Sydney - Haymarket - The Rocks,1030,90,2607,810,174,1228,0,75,183,1181,7380
Waterloo - Beaconsfield,1497,214,2728,674,367,969,0,49,135,793,7419
Bondi - Tamarama - Bronte,641,105,1765,410,138,470,0,7,89,511,4127
Bondi Beach - North Bondi,667,146,2260,497,174,538,0,7,123,690,5109
Bondi Junction - Waverly,491,110,1411,314,133,348,0,4,83,427,3315
Centennial Park,0,0,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,652,162,2037,384,131,438,0,6,89,504,4413
Dover Heights,247,51,735,215,88,214,0,10,36,124,1715
Paddington - Moore Park,607,138,1549,278,122,306,0,5,60,387,3458
Rose Bay - Vaucluse - Watsons Bay,204,39,619,156,50,187,0,7,38,129,1418
Woollahra,209,48,680,115,39,116,0,0,17,117,1335
Coogee - Clovelly,810,227,2212,529,264,609,0,11,118,500,5284
Malabar - La Perouse - Chifley,306,71,881,387,238,561,0,34,96,287,2877
Kensington (NSW),512,66,917,199,92,255,0,7,44,215,2312
Kingsford,518,65,885,219,86,290,0,12,52,140,2269
Maroubra - North,264,39,598,163,87,190,0,5,40,96,1477
Maroubra - South,253,66,605,214,123,261,0,9,47,160,1738
Maroubra - West,307,46,603,195,90,221,0,14,38,126,1640
Randwick - North,601,153,1598,407,186,366,0,6,76,237,3634
Randwick - South,473,112,1154,245,126,258,0,4,53,279,2703
Bass Hill - Georges Hall,138,42,489,400,327,927,0,113,148,203,2788
Chullora,22,3,68,21,6,27,0,3,4,20,183
Condell Park,87,19,326,235,196,552,0,55,60,123,1665
Greenacre - Mount Lewis,214,49,714,475,334,1096,0,127,154,286,3444
Padstow,225,44,614,290,237,510,0,38,75,113,2143
Panania - Milperra - Picnic Point,282,72,908,553,394,882,0,55,124,208,3480
Revesby,185,45,612,298,263,630,0,55,77,127,2295
Yagoona - Birrong,164,49,583,372,296,958,5,110,109,215,2859
Bankstown - North,289,37,665,336,239,697,4,94,116,252,2733
