SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Kurrajong Heights - Ebenezer,2249,67,14,4,24,10,8,14,13,0,150,2562
Pitt Town - McGraths Hill,1210,29,13,3,26,21,0,8,13,0,57,1373
Rouse Hill - Beaumont Hills,1984,138,36,130,256,258,308,57,133,0,133,3430
Blacktown (East) - Kings Park,1048,31,46,119,270,124,1344,36,50,0,159,3216
Blacktown (North) - Marayong,1370,28,43,103,294,92,655,23,37,0,98,2749
Doonside - Woodcroft,1470,23,52,141,593,73,854,28,63,6,145,3449
Lalor Park - Kings Langley,2242,84,54,92,216,176,415,48,40,0,173,3544
Seven Hills - Toongabbie,1575,38,44,128,243,181,1102,35,40,0,179,3571
Blacktown (South),797,21,35,101,174,78,470,20,39,0,97,1837
Blacktown (West),1028,21,42,120,276,120,613,29,34,0,110,2389
Glenwood,1070,55,26,80,193,132,725,45,47,0,56,2432
Parklea - Kellyville Ridge,2745,169,94,214,592,316,1364,94,166,4,232,5976
Riverstone - Marsden Park,1639,73,26,45,200,104,545,43,55,0,190,2914
Acacia Gardens,306,12,12,17,65,23,166,3,14,0,22,643
Quakers Hill,1967,78,51,100,347,85,976,42,81,0,139,3856
Bidwill - Hebersham - Emerton,1758,12,13,92,179,25,132,16,29,6,245,2497
Glendenning - Dean Park,661,17,15,61,204,11,288,9,24,0,58,1340
Hassall Grove - Plumpton,1528,23,31,147,583,28,394,39,49,0,172,2996
Lethbridge Park - Tregear,2024,29,29,83,197,38,392,37,50,0,297,3165
Mount Druitt - Whalan,1341,17,20,384,543,48,760,21,85,3,216,3445
Prospect Reservoir,5,0,0,0,0,0,0,0,0,0,7,6
Rooty Hill - Minchinbury,1424,16,40,134,636,70,478,32,51,5,151,3038
Banksmeadow,4,0,0,0,0,0,0,0,0,0,0,7
Botany,1036,123,73,21,157,90,57,66,38,3,124,1772
Mascot - Eastlakes,1577,183,141,139,891,652,398,179,35,3,277,4481
Pagewood - Hillsdale - Daceyville,743,89,51,88,199,93,170,61,24,4,145,1672
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,4,0,0,0,0,0,0,0,0,0,12,18
Marrickville,3140,295,147,74,595,192,185,166,57,0,432,5283
Petersham - Stanmore,2847,328,104,36,216,160,72,178,53,0,436,4439
Sydenham - Tempe - St Peters,955,113,30,20,145,68,40,52,20,0,117,1560
Darlinghurst,1143,279,120,24,212,157,47,185,27,3,395,2583
Erskineville - Alexandria,2543,476,127,31,239,264,61,172,53,6,346,4321
Glebe - Forest Lodge,2025,381,154,64,354,426,83,211,45,3,418,4165
Newtown - Camperdown - Darlington,3112,595,151,51,316,374,74,260,62,7,496,5489
Potts Point - Woolloomooloo,2049,535,230,47,257,228,72,311,58,5,733,4526
Pyrmont - Ultimo,1107,358,227,70,835,1257,204,337,38,9,531,4972
Redfern - Chippendale,1946,444,193,54,578,700,102,273,41,11,592,4934
Surry Hills,1574,564,166,38,500,274,68,225,58,5,462,3947
Sydney - Haymarket - The Rocks,638,246,151,42,2952,1823,255,205,27,8,1033,7380
Waterloo - Beaconsfield,2650,764,328,147,612,1567,135,390,80,14,738,7419
Bondi - Tamarama - Bronte,1937,778,239,30,87,79,24,370,94,6,485,4127
Bondi Beach - North Bondi,2286,955,274,50,97,99,31,455,184,6,665,5109
Bondi Junction - Waverly,1322,626,219,45,143,182,39,283,59,12,394,3315
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,2432,527,165,59,144,165,30,249,156,0,482,4413
Dover Heights,837,160,92,51,74,54,24,96,216,16,104,1715
Paddington - Moore Park,2011,467,108,30,107,92,31,179,51,5,375,3458
Rose Bay - Vaucluse - Watsons Bay,753,153,65,33,43,69,13,66,106,6,112,1418
Woollahra,799,149,46,14,52,55,16,63,41,0,110,1335
Coogee - Clovelly,2709,1088,194,54,134,108,43,378,95,14,460,5284
Malabar - La Perouse - Chifley,1645,250,97,64,146,205,54,90,59,8,256,2877
Kensington (NSW),893,154,83,74,282,367,102,119,43,3,199,2312
Kingsford,762,149,74,45,333,561,111,73,42,5,120,2269
Maroubra - North,741,165,74,24,107,132,21,91,41,5,81,1477
Maroubra - South,865,202,115,24,84,93,24,144,26,4,155,1738
Maroubra - West,557,135,65,69,241,286,41,103,27,3,104,1640
Randwick - North,1822,715,163,29,176,151,71,208,72,7,215,3634
Randwick - South,1086,582,112,30,162,201,68,155,49,8,255,2703
Bass Hill - Georges Hall,1619,17,49,410,359,76,53,21,33,0,146,2788
Chullora,50,0,8,9,33,46,21,0,0,0,20,183
Condell Park,849,5,37,239,290,62,36,10,17,5,99,1665
Greenacre - Mount Lewis,1756,8,35,747,196,152,252,29,31,0,239,3444
Padstow,1231,34,55,93,200,271,101,24,24,0,98,2143
Panania - Milperra - Picnic Point,2324,78,79,136,269,219,103,44,37,3,186,3480
Revesby,1227,36,57,127,325,235,138,35,26,0,95,2295
Yagoona - Birrong,1285,11,42,415,618,144,117,22,60,3,152,2859
Bankstown - North,712,16,79,375,504,280,429,28,77,0,231,2733
Bankstown - South,700,12,52,321,698,140,238,19,70,3,215,2461
Belmore - Belfield,1315,36,90,163,261,319,281,52,49,0,147,2722
Canterbury (South) - Campsie,1264,43,106,101,890,1401,1032,103,47,10,299,5293
Kingsgrove (North) - Earlwood,2025,78,130,96,255,157,41,76,32,0,214,3114
Punchbowl,1219,11,42,540,375,129,333,27,44,8,188,2910
Roselands,1009,17,68,144,162,161,146,44,22,0,117,1896
Lakemba,451,9,25,237,372,87,1214,5,70,4,175,2643
Wiley Park,398,6,19,165,196,70,685,12,45,0,147,1750
Hurstville,691,16,51,71,386,2239,492,37,18,4,191,4184
