SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Sussex Inlet - Berrara,24,44,25,14,57,9,3,106,280
Tomerong - Wandandian - Woollamia,24,3,17,149,22,14,0,103,333
Ulladulla,82,197,454,33,19,106,7,453,1349
Ulladulla Region,37,5,34,106,34,38,3,144,391
Bowral,98,151,254,55,10,120,4,318,1013
Hill Top - Colo Vale,29,20,20,265,45,120,0,260,758
Mittagong,71,78,277,84,21,130,6,258,918
Moss Vale - Berrima,59,148,200,257,11,78,0,359,1113
Robertson - Fitzroy Falls,48,14,23,93,32,26,0,109,346
Southern Highlands,64,27,24,124,59,84,0,171,550
Baulkham Hills (East),148,92,816,1021,448,5,9,985,3517
Baulkham Hills (West) - Bella Vista,137,117,552,706,384,3,7,630,2539
Glenhaven,32,16,111,179,74,3,0,148,560
West Pennant Hills,73,17,218,661,58,15,4,347,1391
Castle Hill - Central,49,78,200,318,162,4,4,335,1153
Castle Hill - East,27,6,65,189,33,0,0,119,449
Castle Hill - North,74,69,240,401,165,3,0,381,1332
Castle Hill - South,62,73,224,377,182,6,6,370,1306
Castle Hill - West,47,18,113,198,118,4,0,178,680
Cherrybrook,89,49,268,956,131,3,8,547,2050
Kellyville,199,90,690,1022,511,13,8,847,3388
Dural - Kenthurst - Wisemans Ferry,231,60,201,674,339,58,12,608,2186
Galston - Laughtondale,41,14,61,165,90,7,0,147,524
Bilpin - Colo - St Albans,22,4,11,23,41,70,0,111,282
Kurrajong Heights - Ebenezer,205,38,159,740,547,223,8,649,2562
Pitt Town - McGraths Hill,145,45,174,470,156,72,0,311,1373
Rouse Hill - Beaumont Hills,216,82,577,1150,537,17,12,846,3430
Blacktown (East) - Kings Park,55,174,498,795,430,9,8,1256,3216
Blacktown (North) - Marayong,71,75,436,747,385,12,3,1016,2749
Doonside - Woodcroft,75,55,512,1014,545,9,4,1228,3449
Lalor Park - Kings Langley,121,97,830,957,459,3,5,1078,3544
Seven Hills - Toongabbie,72,125,767,961,431,3,8,1206,3571
Blacktown (South),45,108,289,477,188,4,3,725,1837
Blacktown (West),59,88,357,686,298,15,5,877,2389
Glenwood,110,91,469,712,398,4,3,642,2432
Parklea - Kellyville Ridge,259,161,1154,1844,979,16,20,1546,5976
Riverstone - Marsden Park,99,63,326,1025,503,23,10,861,2914
Acacia Gardens,25,13,137,223,95,0,4,144,643
Quakers Hill,122,60,692,1209,645,6,10,1119,3856
Bidwill - Hebersham - Emerton,38,66,240,497,202,11,0,1442,2497
Glendenning - Dean Park,29,35,215,405,159,8,4,482,1340
Hassall Grove - Plumpton,72,94,368,948,422,5,3,1075,2996
Lethbridge Park - Tregear,64,60,319,766,368,44,6,1535,3165
Mount Druitt - Whalan,82,149,314,649,417,9,7,1819,3445
Prospect Reservoir,0,0,5,0,0,0,0,7,6
Rooty Hill - Minchinbury,75,110,409,913,486,13,10,1025,3038
Banksmeadow,0,0,0,4,0,0,0,0,7
Botany,53,105,729,429,15,3,5,434,1772
Mascot - Eastlakes,80,426,2072,491,50,9,24,1329,4481
Pagewood - Hillsdale - Daceyville,40,151,590,262,34,4,0,586,1672
Port Botany Industrial,0,0,0,0,0,0,0,0,0
Sydney Airport,0,0,0,0,0,0,7,11,18
Marrickville,139,352,2502,902,64,22,19,1282,5283
Petersham - Stanmore,119,354,2239,664,64,13,9,971,4439
Sydenham - Tempe - St Peters,33,104,831,234,18,5,8,329,1560
Darlinghurst,58,860,807,140,14,10,16,672,2583
Erskineville - Alexandria,86,420,2425,556,50,18,13,749,4321
Glebe - Forest Lodge,89,680,1780,386,41,8,17,1153,4165
Newtown - Camperdown - Darlington,138,718,2613,628,61,15,25,1287,5489
Potts Point - Woolloomooloo,83,1014,1913,298,25,8,18,1158,4526
Pyrmont - Ultimo,80,1529,1259,399,42,13,26,1628,4972
Redfern - Chippendale,78,968,1866,482,47,29,19,1448,4934
Surry Hills,91,1158,1343,336,25,19,25,947,3947
Sydney - Haymarket - The Rocks,82,2683,1073,635,73,36,69,2726,7380
Waterloo - Beaconsfield,118,707,3649,698,75,39,28,2096,7419
Bondi - Tamarama - Bronte,159,338,2048,492,47,4,13,1015,4127
Bondi Beach - North Bondi,238,388,2390,710,59,3,23,1284,5109
Bondi Junction - Waverly,136,338,1576,338,32,4,11,876,3315
Centennial Park,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,199,403,2241,385,41,23,21,1113,4413
Dover Heights,120,134,715,283,15,4,6,435,1715
Paddington - Moore Park,147,509,1761,225,26,9,18,753,3458
Rose Bay - Vaucluse - Watsons Bay,102,85,508,259,15,7,3,436,1418
Woollahra,65,143,702,105,11,3,7,301,1335
Coogee - Clovelly,210,438,2665,698,72,21,25,1148,5284
Malabar - La Perouse - Chifley,119,150,728,951,58,18,6,850,2877
Kensington (NSW),52,233,1048,196,18,9,10,745,2312
Kingsford,54,333,816,180,24,11,8,841,2269
Maroubra - North,69,82,584,355,23,3,5,352,1477
Maroubra - South,58,95,547,499,33,8,5,497,1738
Maroubra - West,56,118,693,236,25,0,5,507,1640
Randwick - North,129,475,1828,407,45,12,9,725,3634
Randwick - South,73,459,1171,275,31,8,16,666,2703
Bass Hill - Georges Hall,103,94,532,662,34,9,0,1354,2788
Chullora,4,3,22,67,4,0,0,71,183
Condell Park,69,110,243,440,16,0,7,771,1665
Greenacre - Mount Lewis,132,219,539,672,19,3,4,1852,3444
Padstow,77,70,317,975,48,12,3,650,2143
Panania - Milperra - Picnic Point,121,129,539,1562,145,13,9,974,3480
Revesby,67,111,297,988,58,3,3,770,2295
Yagoona - Birrong,104,143,488,718,29,4,7,1377,2859
Bankstown - North,73,151,326,673,16,10,6,1478,2733
Bankstown - South,41,182,284,590,40,5,0,1319,2461
Belmore - Belfield,62,154,494,929,32,9,10,1035,2722
Canterbury (South) - Campsie,93,296,975,1781,70,4,12,2056,5293
Kingsgrove (North) - Earlwood,123,114,810,1120,42,13,10,892,3114
Punchbowl,89,121,421,694,20,3,9,1555,2910
Roselands,51,90,325,665,10,3,7,750,1896
Lakemba,62,134,238,444,11,8,0,1749,2643
Wiley Park,40,77,186,390,16,3,5,1040,1750
Hurstville,74,330,381,1732,51,16,17,1588,4184
Mortdale - Penshurst,99,226,525,1849,56,13,13,1102,3887
Narwee - Beverly Hills,38,76,282,838,29,3,4,706,1976
Oatley - Hurstville Grove,67,79,245,793,22,0,6,405,1610
Peakhurst - Lugarno,86,82,356,966,35,8,5,581,2113
Riverwood,27,77,212,625,19,0,0,661,1623
South Hurstville - Blakehurst,99,213,513,1462,48,7,10,1155,3516
Arncliffe - Bardwell Valley,91,140,1182,1642,76,18,10,1472,4624
Bexley,87,347,715,1541,61,9,11,1370,4146
Kingsgrove (South) - Bardwell Park,48,86,312,734,13,0,7,465,1679
Kogarah,35,314,288,870,18,4,4,672,2204
Kogarah Bay - Carlton - Allawah,62,201,359,1113,35,14,9,777,2562
