SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Thornton - Millers Forest,481,526,75,32,33,240,32,1412
Anna Bay,165,202,29,9,7,104,24,539
Lemon Tree Passage - Tanilba Bay,153,192,22,21,11,189,37,631
Nelson Bay Peninsula,596,683,75,45,52,378,115,1942
Raymond Terrace,411,490,76,50,47,498,124,1701
Seaham - Woodville,164,215,36,8,13,88,29,555
Tea Gardens - Hawks Nest,67,97,13,10,16,75,14,288
Williamtown - Medowie - Karuah,522,575,77,32,41,343,126,1717
Muswellbrook,445,447,69,61,30,462,94,1615
Muswellbrook Region,148,157,25,9,8,103,32,476
Scone,295,222,28,14,13,144,52,764
Scone Region,317,286,50,18,19,200,113,992
Dapto - Avondale,872,980,138,73,61,635,81,2841
Horsley - Kembla Grange,471,468,83,12,24,197,28,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,646,648,104,19,40,362,69,1889
Berkeley - Lake Heights - Cringila,450,455,77,49,46,566,88,1730
Port Kembla - Warrawong,303,264,40,45,40,397,68,1160
Windang - Primbee,123,140,19,8,8,89,20,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,588,759,102,25,46,371,53,1955
Albion Park Rail,258,283,34,25,24,189,41,860
Kiama,244,275,28,6,15,127,32,733
Kiama Downs - Minnamurra,198,251,44,10,17,91,26,643
Kiama Hinterland - Gerringong,240,285,55,8,15,108,55,776
Shellharbour - Flinders,740,844,125,39,43,381,91,2266
Shellharbour - Oak Flats,383,416,55,26,28,226,54,1195
Warilla,594,754,97,58,66,627,134,2335
Balgownie - Fairy Meadow,839,857,140,37,65,532,109,2575
Corrimal - Tarrawanna - Bellambi,647,660,94,46,51,421,74,1981
Figtree - Keiraville,891,877,127,36,57,553,91,2627
Helensburgh,403,477,64,13,14,168,40,1177
Thirroul - Austinmer - Coalcliff,491,502,87,17,25,225,56,1409
Woonona - Bulli - Russell Vale,799,972,155,35,44,463,112,2582
