SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Plantagenet,113,160,14,15,12,135,37,496
Stirling Range National Park,0,0,0,0,0,0,0,0
Chittering,172,200,19,10,11,147,52,613
Cunderdin,105,141,19,9,4,116,39,434
Dowerin,119,166,13,9,9,107,28,456
Gingin - Dandaragan,268,263,49,26,16,217,77,907
Merredin,181,173,31,7,5,143,40,580
Moora,180,175,15,6,10,135,49,577
Mukinbudin,112,96,15,7,7,91,39,364
Northam,370,321,51,29,26,329,113,1240
Toodyay,93,103,18,23,12,102,32,371
York - Beverley,131,171,14,6,9,111,47,483
Brookton,79,123,23,6,10,102,38,377
Kulin,148,200,18,13,3,111,42,531
Murray,75,78,17,9,5,91,19,311
Narrogin,146,156,28,12,4,134,42,522
Wagin,134,183,26,6,10,106,58,529
Broome,1047,584,127,41,34,405,315,2555
Derby - West Kimberley,368,126,40,46,25,483,147,1235
Halls Creek,105,41,17,17,15,211,140,553
Kununurra,498,189,55,35,17,267,154,1219
Roebuck,76,62,0,23,12,108,39,321
East Pilbara,307,60,39,17,10,160,157,746
Newman,323,160,38,19,18,132,100,798
Port Hedland,347,180,49,18,13,141,96,841
South Hedland,601,317,98,43,34,395,266,1739
Ashburton (WA),669,260,109,22,16,303,189,1563
Karratha,1095,677,147,75,43,651,317,3005
Roebourne,255,165,48,26,22,204,59,782
Esperance,412,503,64,20,27,293,135,1449
Esperance Region,133,134,24,8,9,103,78,485
Carnarvon,235,141,44,7,6,148,109,680
Exmouth,225,206,32,9,13,125,75,684
Boulder,309,237,45,38,12,281,114,1043
Kalgoorlie,806,532,102,57,51,475,198,2225
Kalgoorlie - North,582,371,71,26,27,323,110,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,180,113,28,9,10,184,80,614
Leinster - Leonora,170,62,21,33,15,222,143,664
Trafalgar (WA),0,0,0,0,0,0,0,0
Geraldton,405,340,54,36,22,319,124,1302
Geraldton - East,252,281,49,39,23,283,84,1013
Geraldton - North,328,325,52,31,10,239,73,1053
Geraldton - South,487,447,78,27,34,273,85,1429
Irwin,76,138,16,9,9,97,23,360
Meekatharra,131,46,12,9,10,90,88,379
Morawa,139,123,20,7,8,101,38,429
Northampton - Mullewa - Greenough,135,201,25,15,8,151,61,596
Migratory - Offshore - Shipping (WA),4,0,0,0,0,0,3,14
No Usual Address (WA),193,85,37,41,15,223,241,838
Bridgewater - Gagebrook,151,230,37,43,24,415,97,987
Brighton - Pontville,255,317,32,6,14,132,34,785
Old Beach - Otago,247,217,30,3,0,66,17,584
Bellerive - Rosny,235,240,39,6,12,112,24,664
Cambridge,305,360,53,13,5,99,13,849
Geilston Bay - Risdon,167,171,30,5,3,43,4,428
Howrah - Tranmere,496,478,83,17,12,142,39,1263
Lindisfarne - Rose Bay,304,271,57,13,16,122,27,808
Mornington - Warrane,198,207,26,19,16,183,24,679
Risdon Vale,88,104,26,10,5,125,27,377
Rokeby,256,286,48,25,23,279,47,957
South Arm,147,204,26,7,8,78,18,482
Austins Ferry - Granton,174,193,19,3,8,99,23,524
Berriedale - Chigwell,200,225,32,16,14,168,36,694
Claremont (Tas.),298,341,62,17,23,210,41,991
Derwent Park - Lutana,172,183,22,19,7,138,37,580
Glenorchy,375,425,58,25,40,393,73,1404
Montrose - Rosetta,200,186,37,14,10,112,34,586
Moonah,209,237,41,21,16,184,54,755
New Norfolk,170,267,38,14,24,213,44,774
West Moonah,192,170,36,6,17,130,37,578
Kingston - Huntingfield,529,533,99,22,31,283,59,1566
Kingston Beach - Blackmans Bay,391,482,62,25,26,194,40,1214
Margate - Snug,316,397,50,4,19,198,28,1010
Mount Wellington,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,133,126,26,0,7,43,15,351
Hobart,542,302,49,23,31,198,104,1253
Lenah Valley - Mount Stuart,468,420,62,21,22,139,55,1180
Mount Nelson - Dynnyrne,188,195,32,11,22,123,28,593
New Town,307,254,38,11,12,163,55,837
Sandy Bay,443,463,61,34,48,388,78,1515
South Hobart - Fern Tree,288,314,48,13,8,133,39,850
West Hobart,365,290,41,12,14,140,54,915
Dodges Ferry - Lewisham,226,331,51,15,18,179,64,884
Sorell - Richmond,304,386,61,18,14,175,52,1015
Invermay,117,108,13,9,16,104,29,394
Kings Meadows - Punchbowl,162,189,34,5,13,127,37,568
Launceston,241,187,33,7,4,108,51,637
Legana,135,193,26,3,0,73,11,446
Mowbray,105,129,19,20,20,164,32,479
Newnham - Mayfield,225,334,40,28,27,410,82,1148
Newstead,184,242,25,8,11,118,31,619
Norwood (Tas.),131,172,23,0,3,61,20,417
Prospect Vale - Blackstone,231,289,35,13,17,129,36,748
Ravenswood,63,114,16,20,15,169,48,447
Riverside,236,273,47,6,10,155,26,756
South Launceston,229,205,30,8,14,129,38,662
Summerhill - Prospect,192,224,34,7,11,109,29,617
Trevallyn,207,199,27,3,15,95,22,574
Waverley - St Leonards,128,150,20,4,12,123,29,463
West Launceston,186,203,26,18,14,96,26,568
Youngtown - Relbia,178,205,28,3,13,93,28,557
Beauty Point - Beaconsfield,54,97,16,9,5,103,19,301
Deloraine,117,212,21,11,13,161,48,586
Grindelwald - Lanena,150,194,37,10,4,115,32,545
Hadspen - Carrick,109,162,31,5,8,73,17,406
Westbury,94,149,11,10,3,103,24,399
Dilston - Lilydale,120,159,16,4,10,84,27,420
George Town,134,188,27,28,31,239,54,706
Longford,116,111,9,12,14,113,20,398
Northern Midlands,88,137,15,10,9,111,46,406
Perth - Evandale,175,215,19,13,8,105,32,563
St Helens - Scamander,104,182,23,14,14,138,30,499
Flinders and Cape Barren Islands,26,27,8,5,0,11,8,83
Scottsdale - Bridport,140,217,23,19,24,190,46,656
Central Highlands,44,58,11,7,5,59,8,200
Derwent Valley,91,102,16,8,7,88,23,322
Southern Midlands,186,204,30,9,15,155,42,634
Wilderness - East,0,0,0,0,0,0,0,5
Bruny Island - Kettering,64,102,11,3,0,62,21,255
Cygnet,76,147,6,10,13,128,32,411
Geeveston - Dover,75,108,22,14,14,87,34,345
Huonville - Franklin,243,380,48,15,14,214,57,977
Forestier - Tasman,40,61,3,5,3,52,17,185
Triabunna - Bicheno,103,139,17,4,8,78,28,374
Acton - Upper Burnie,88,130,18,6,10,118,16,402
Burnie - Ulverstone Region,149,189,22,9,13,111,36,516
Burnie - Wivenhoe,117,128,19,19,8,137,29,455
Parklands - Camdale,202,239,28,19,19,191,27,726
Penguin - Sulphur Creek,150,201,39,16,10,118,32,557
Romaine - Havenview,113,150,19,11,14,97,15,422
Somerset,105,154,14,11,3,106,23,421
Ulverstone,177,275,38,10,21,157,33,714
West Ulverstone,75,152,23,13,8,117,27,405
Wynyard,136,219,33,15,21,167,38,623
Devonport,398,534,74,40,37,446,65,1584
East Devonport,92,157,14,17,17,187,24,509
Latrobe,145,193,24,11,12,126,34,538
Miandetta - Don,138,169,25,5,13,101,22,464
Port Sorell,151,197,29,12,7,106,27,522
Quoiba - Spreyton,108,135,16,6,3,53,17,338
Sheffield - Railton,158,219,26,11,5,177,36,629
Turners Beach - Forth,121,130,12,5,5,54,11,333
King Island,57,62,16,0,0,30,15,181
North West,130,155,30,4,4,90,35,442
Smithton,94,180,17,6,11,95,21,420
Waratah,81,124,11,14,8,108,19,360
West Coast (Tas.),105,148,19,14,9,160,36,497
Wilderness - West,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),5,0,0,0,0,0,0,3
No Usual Address (Tas.),28,24,0,14,4,42,12,120
Darwin Airport,0,0,0,0,0,0,0,3
Darwin City,726,197,57,27,33,204,229,1472
East Point,0,0,0,0,0,0,0,5
Fannie Bay - The Gardens,322,91,27,9,11,66,48,577
Larrakeyah,343,131,19,9,7,110,83,713
Ludmilla - The Narrows,171,69,19,8,7,94,44,420
Parap,254,93,24,9,3,121,56,562
Stuart Park,498,130,41,13,8,90,124,904
Woolner - Bayview - Winnellie,289,86,22,5,4,50,50,513
Alawa,126,79,19,13,10,58,39,352
Anula,174,64,20,4,10,57,26,350
Berrimah,54,28,4,5,0,36,30,161
Brinkin - Nakara,239,139,38,5,13,85,60,584
Buffalo Creek,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0
Coconut Grove,279,106,37,10,5,87,77,595
East Arm,4,0,0,0,0,0,0,4
Jingili,97,84,16,4,5,36,20,261
Karama,326,155,38,16,10,155,98,790
Leanyer,354,150,40,7,5,92,58,708
Lyons (NT),468,201,61,9,14,166,50,973
Malak - Marrara,293,121,28,17,10,132,71,671
Millner,212,105,21,7,8,68,42,456
Moil,129,62,21,4,5,47,29,297
Nightcliff,360,142,36,13,9,113,81,755
Rapid Creek,297,130,29,6,5,97,78,648
Tiwi,184,96,26,11,5,65,29,410
Wagaman,139,82,9,6,9,59,41,345
Wanguri,128,53,13,4,0,39,28,271
Wulagi,181,75,32,10,4,57,31,389
Howard Springs,206,84,26,0,0,115,60,493
Humpty Doo,596,295,64,11,10,147,148,1268
Koolpinyah,3,0,0,0,0,0,0,3
Virginia,189,92,23,12,4,58,47,420
Weddell,248,103,24,16,11,107,80,590
Bakewell,293,114,33,9,13,77,41,586
Driver,209,100,19,12,11,98,45,480
Durack - Marlow Lagoon,358,164,36,24,16,141,55,783
Gray,215,101,22,12,7,100,78,542
Moulden,180,71,16,9,10,111,57,456
Palmerston - North,385,152,45,7,15,129,53,784
Palmerston - South,343,122,42,5,6,101,48,667
Rosebery - Bellamack,595,234,88,24,21,263,81,1314
Woodroffe,234,113,28,6,6,103,63,545
Charles,271,116,43,3,4,151,108,693
East Side,421,187,48,6,7,129,125,924
Flynn (NT),338,126,31,11,12,133,93,737
Larapinta,386,148,46,12,3,124,74,788
Mount Johns,386,114,35,14,0,87,113,749
Petermann - Simpson,204,39,31,10,8,82,79,456
Ross,117,51,8,3,3,68,36,288
