SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Chester Hill - Sefton,39,118,6,995,22,1175,2353
Fairfield - East,31,80,4,780,26,1182,2107
Granville - Clyde,55,186,6,1483,42,1653,3435
Greystanes - Pemulwuy,88,387,36,2165,33,1162,3872
Guildford - South Granville,37,133,8,1068,26,1816,3077
Guildford West - Merrylands West,43,189,13,1367,33,1475,3123
Merrylands - Holroyd,79,277,29,2051,42,2100,4587
Smithfield Industrial,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0
North Parramatta,118,387,21,2294,34,1713,4560
North Rocks,26,95,4,558,6,271,963
Northmead,81,524,15,2225,36,1616,4489
Parramatta - Rosehill,116,351,19,3543,75,3118,7217
Toongabbie - Constitution Hill,84,371,25,1666,27,973,3136
Winston Hills,45,192,12,953,12,290,1497
Pendle Hill - Girraween,46,188,12,1021,22,833,2120
Wentworthville - Westmead,51,232,16,1361,21,1160,2838
Epping - North Epping,148,270,9,2208,38,1254,3930
Pennant Hills - Cheltenham,65,235,10,1423,10,549,2293
Eastwood - Denistone,106,243,14,2071,37,1192,3661
Gladesville - Huntleys Point,72,205,14,1410,14,476,2180
Hunters Hill - Woolwich,22,77,8,681,10,269,1065
Macquarie Park - Marsfield,210,238,8,2215,25,1367,4070
North Ryde - East Ryde,57,124,11,1031,12,364,1595
West Ryde - Meadowbank,96,268,18,2488,42,1108,4016
Putney,6,29,0,288,6,97,431
Ryde,123,308,21,2807,51,1382,4698
Ashcroft - Busby - Miller,13,82,3,684,28,1397,2210
Austral - Greendale,13,50,10,511,20,415,1024
Cobbitty - Leppington,70,357,34,1815,30,836,3141
Badgerys Creek,0,0,0,0,0,3,6
Cecil Hills,24,80,6,507,8,286,913
Green Valley,29,135,3,817,25,711,1721
Hinchinbrook,26,150,10,929,27,671,1810
